,LAV diam (mm),RAV diam (mm),Atria Diam (mm),Pulmonary Diam (mm),Atria Vol (mL),LV + S Vol (mL),RV Vol (mL),(LV + S)/RV
0,12.33,7.89,14.05,17.42,50.0,100.0,26.0,3.846
1,15.23,9.67,14.1,16.0,35.0,37.0,20.0,1.85
2,11.06,10.04,12.71,12.46,27.0,35.0,21.0,1.667
3,11.34,9.53,13.62,13.7,75.0,80.0,30.0,2.667
4,11.8,8.92,13.53,14.05,25.0,70.0,25.0,2.8
5,12.46,8.21,13.54,14.36,60.0,100.0,50.0,2.0
6,10.28,9.03,11.82,13.44,80.0,90.0,30.0,3.0
7,7.63,8.38,11.55,8.86,12.5,42.5,32.5,1.308
8,11.0,8.0,14.0,8.8,20.0,70.0,40.0,1.75
9,7.91,7.29,7.53,5.16,15.0,100.0,50.0,2.0
10,16.2,12.0,11.25,14.0,35.0,95.0,65.0,1.462
11,19.0,16.0,8.75,7.5,20.0,43.0,20.0,2.15
12,10.2,13.0,12.5,13.5,40.0,80.0,35.0,2.286
13,8.89,7.39,8.39,9.03,30.0,75.0,25.0,3.0
14,10.5,9.1,12.2,9.3,20.0,45.0,40.0,1.125
15,17.0,14.0,13.0,13.0,22.5,112.5,50.0,2.25
16,13.0,10.0,12.0,10.0,60.0,55.0,20.0,2.75
17,7.8,7.0,12.5,11.0,23.0,28.0,65.0,0.431
18,12.8,10.1,12.1,13.1,35.0,75.0,40.0,1.875
19,10.84,7.02,9.43,10.66,27.0,73.0,22.0,3.318
20,13.34,8.31,14.23,13.7,33.0,55.0,24.0,2.292
21,18.96,13.88,10.19,10.1,19.0,70.0,20.0,3.5
22,14.8,9.3,11.1,9.8,28.0,50.0,21.0,2.381
23,15.0,8.4,10.2,11.3,25.0,75.0,50.0,1.5
24,17.7,7.72,15.29,12.27,25.0,60.0,15.0,4.0
25,11.1,12.4,8.14,9.22,40.0,35.0,23.0,1.522
26,11.4,10.3,8.3,8.2,25.0,60.0,20.0,3.0
27,13.8,13.96,8.52,10.26,50.0,150.0,60.0,2.5
28,11.96,10.56,7.33,9.09,35.0,55.0,50.0,1.1
29,5.8,6.77,13.18,10.48,30.0,100.0,25.0,4.0
30,7.98,8.08,11.47,7.53,65.0,85.0,40.0,2.125
31,8.0,5.0,10.68,5.0,73.0,50.0,15.0,3.333
32,11.3,10.8,8.2,10.0,52.0,126.0,50.0,2.52
33,12.0,13.5,14.0,14.0,65.0,75.0,25.0,3.0
34,6.88,5.78,9.0,6.8,50.0,70.0,20.0,3.5
35,5.67,6.78,8.13,9.61,25.0,75.0,20.0,3.75
